BookID,Title,PublisherName
2,The Existence Of Amy,Shanora Williams
4,The Silent Patient,Alex Michaelides
7,True Believer,Jack Carr
9,The Guest List,Lucy Foley
10,The Terminal List,Jack Carr
11,Lady in Waiting,Anne Glenconner
12,The Vanishing Half,Brit Bennett
13,Black Cake,Charmaine Wilkerson
14,Apples Never Fall,"Liane Moriarty "
15,While Justice Sleeps,"Stacey Abrams "
17,The Asset,"Saul Herzog "
19,The Devil's Hand,The Devil's Hand
21,The Lies I Tell,"Julie Clark "
23,Blood Brothers,Donna Jean Picerno
24,The Cabin Below,"N.L. Hinkens "
25,Bloomer Girls,"Debra A Shattuck "
27,Home Again,"Kristin Hannah "
28,Cloud Cuckoo Land,"Anthony Doerr "
29,Desert Star,"Renée Ballard "
31,American Dirt,eanine Cummins
54,"Abandoned in Death
Abandoned in Death ","J. D. Robb "
